,ID,type,AP,DV,ML,R,parent,area_ID,area_name,name_use,bratch_ID,side,terminal
0,1,1,7371.48,5721.3,2808.22,3.87890625,-1,1105,IA,IA,1,left,0
89,90,3,7371.32,5719.86,2810.5200000000004,0.03125,1,1105,IA,IA,2,left,0
90,91,3,7369.46,5718.82,2811.0,2.68359375,90,1105,IA,IA,2,left,0
91,92,3,7368.3,5714.46,2812.0,4.171875,91,1105,IA,IA,2,left,0
92,93,3,7368.36,5712.72,2812.5200000000004,4.9296875,92,1105,IA,IA,2,left,0
93,94,3,7368.84,5712.62,2816.959999999999,7.02734375,93,1105,IA,IA,2,left,0
94,95,3,7368.96,5712.7,2818.24,7.05859375,94,1105,IA,IA,2,left,0
262,263,3,7369.42,5709.94,2818.6399999999994,0.0859375,95,1105,IA,IA,5,left,0
263,264,3,7371.0,5709.12,2818.5599999999995,5.54296875,263,1105,IA,IA,5,left,0
264,265,3,7371.32,5708.36,2817.74,4.2890625,264,1105,IA,IA,5,left,0
265,266,3,7371.34,5705.3,2817.8,3.23828125,265,1105,IA,IA,5,left,0
266,267,3,7371.08,5703.68,2815.3600000000006,1.57421875,266,1105,IA,IA,5,left,0
267,268,3,7371.6,5703.44,2813.74,0.58203125,267,1105,IA,IA,5,left,0
268,269,3,7373.5,5702.98,2812.5599999999995,0.49609375,268,1105,IA,IA,5,left,0
269,270,3,7374.08,5702.0,2810.34,0.0078125,269,1105,IA,IA,5,left,0
270,271,3,7373.94,5700.46,2808.379999999999,0.5234375,270,1105,IA,IA,5,left,0
271,272,3,7373.6,5699.08,2805.040000000001,0.3515625,271,1105,IA,IA,5,left,0
272,273,3,7373.4,5698.16,2804.040000000001,0.5234375,272,303,BLAa,BLA,5,left,0
273,274,3,7372.24,5695.44,2803.9400000000005,0.37890625,273,303,BLAa,BLA,5,left,0
274,275,3,7371.4,5693.6,2803.3600000000006,0.69921875,274,703,CTXsp,CTXsp,5,left,0
275,276,3,7370.92,5691.26,2801.98,0.41015625,275,703,CTXsp,CTXsp,5,left,0
276,277,3,7370.86,5688.82,2801.1000000000004,0.49609375,276,703,CTXsp,CTXsp,5,left,0
277,278,3,7369.56,5686.7,2799.82,0.4375,277,703,CTXsp,CTXsp,5,left,0
278,279,3,7368.28,5686.14,2798.0,0.90234375,278,703,CTXsp,CTXsp,5,left,0
