,ID,type,AP,DV,ML,R,parent,area_ID,area_name,name_use,bratch_ID,side,terminal
0,1,1,7097.92,5525.34,2562.34,5.1171875,-1,303,BLAa,BLA,1,left,0
25,26,3,7098.18,5527.12,2561.72,0.06640625,1,303,BLAa,BLA,2,left,0
26,27,3,7097.88,5529.34,2561.4400000000005,1.921875,26,303,BLAa,BLA,2,left,0
27,28,3,7096.7,5530.5,2561.24,3.359375,27,303,BLAa,BLA,2,left,0
28,29,3,7094.3,5531.28,2561.0599999999995,2.734375,28,303,BLAa,BLA,2,left,0
29,30,3,7093.2,5531.78,2560.959999999999,1.54296875,29,303,BLAa,BLA,2,left,0
30,31,3,7091.04,5532.2,2560.84,0.921875,30,303,BLAa,BLA,2,left,0
31,32,3,7089.1,5532.5,2560.74,0.32421875,31,303,BLAa,BLA,2,left,0
32,33,3,7087.76,5533.38,2560.1399999999994,0.62109375,32,303,BLAa,BLA,2,left,0
33,34,3,7087.02,5534.26,2558.4,0.62109375,33,303,BLAa,BLA,2,left,0
34,35,3,7086.78,5534.7,2556.5,0.62109375,34,303,BLAa,BLA,2,left,0
35,36,3,7099.18,5524.52,2562.08,0.20703125,1,303,BLAa,BLA,3,left,0
36,37,3,7101.48,5524.1,2562.22,4.2265625,36,303,BLAa,BLA,3,left,0
37,38,3,7104.4,5523.66,2562.379999999999,4.1171875,37,303,BLAa,BLA,3,left,0
38,39,3,7106.54,5523.68,2561.9400000000005,3.57421875,38,303,BLAa,BLA,3,left,0
39,40,3,7108.0,5523.58,2561.0599999999995,2.4921875,39,303,BLAa,BLA,3,left,0
40,41,3,7109.18,5524.88,2560.6000000000004,1.65234375,40,303,BLAa,BLA,3,left,0
41,42,3,7109.46,5526.9,2559.24,1.921875,41,303,BLAa,BLA,3,left,0
42,43,3,7110.12,5529.26,2558.58,0.4609375,42,303,BLAa,BLA,3,left,0
43,44,3,7111.74,5530.6,2557.1399999999994,1.59765625,43,303,BLAa,BLA,3,left,0
44,45,3,7112.84,5530.64,2555.6000000000004,0.94921875,44,303,BLAa,BLA,3,left,0
45,46,3,7116.48,5530.48,2553.6000000000004,0.4609375,45,303,BLAa,BLA,3,left,0
46,47,3,7118.12,5531.02,2552.26,0.67578125,46,303,BLAa,BLA,3,left,0
47,48,3,7119.26,5531.1,2551.76,0.37890625,47,303,BLAa,BLA,3,left,0
48,49,3,7120.82,5534.5,2551.08,0.4609375,48,303,BLAa,BLA,3,left,0
49,50,3,7122.24,5536.22,2550.620000000001,0.48828125,49,303,BLAa,BLA,3,left,0
50,51,3,7123.48,5536.96,2549.76,0.40625,50,303,BLAa,BLA,3,left,0
51,52,3,7124.62,5539.04,2547.8600000000006,0.37890625,51,303,BLAa,BLA,3,left,0
52,53,3,7125.26,5539.52,2546.82,0.43359375,52,303,BLAa,BLA,3,left,0
53,54,3,7125.56,5539.52,2542.120000000001,0.32421875,53,303,BLAa,BLA,3,left,0
54,55,3,7125.44,5539.14,2539.7800000000007,0.4609375,54,303,BLAa,BLA,3,left,0
