,ID,type,AP,DV,ML,R,parent,area_ID,area_name,name_use,bratch_ID,side,terminal
0,1,1,6855.58,5953.14,2781.3,0.46875,-1,303,BLAa,BLA,1,left,0
1,2,3,6854.9,5954.68,2781.56,0.00390625,1,303,BLAa,BLA,1,left,0
84,85,3,6851.04,5955.32,2781.26,1.60546875,2,303,BLAa,BLA,2,left,0
85,86,3,6849.08,5956.76,2781.5,1.109375,85,303,BLAa,BLA,2,left,0
86,87,3,6857.4,5954.8,2781.42,2.16015625,2,303,BLAa,BLA,3,left,0
87,88,3,6859.98,5953.82,2781.86,2.21484375,87,303,BLAa,BLA,3,left,0
88,89,3,6861.36,5951.98,2783.3,0.84765625,88,303,BLAa,BLA,3,left,0
89,90,3,6863.88,5951.3,2784.2,0.015625,89,303,BLAa,BLA,3,left,0
90,91,3,6865.0,5951.78,2785.36,0.640625,90,303,BLAa,BLA,3,left,0
91,92,3,6867.1,5952.26,2786.86,0.58203125,91,303,BLAa,BLA,3,left,0
92,93,3,6868.5,5952.5,2788.96,0.37890625,92,303,BLAa,BLA,3,left,0
93,94,3,6871.48,5953.1,2791.0,0.4375,93,303,BLAa,BLA,3,left,0
94,95,3,6874.1,5953.96,2792.42,0.58203125,94,303,BLAa,BLA,3,left,0
95,96,3,6876.08,5955.24,2793.22,0.5546875,95,303,BLAa,BLA,3,left,0
96,97,3,6878.34,5956.86,2793.84,0.5234375,96,303,BLAa,BLA,3,left,0
97,98,3,6880.18,5958.3,2794.24,0.69921875,97,303,BLAa,BLA,3,left,0
98,99,3,6882.64,5959.2,2794.54,0.41015625,98,303,BLAa,BLA,3,left,0
99,100,3,6886.06,5959.86,2794.84,0.234375,99,303,BLAa,BLA,3,left,0
100,101,3,6887.9,5959.8,2795.14,0.61328125,100,303,BLAa,BLA,3,left,0
184,185,3,6849.14,5954.62,2780.72,0.01171875,86,303,BLAa,BLA,6,left,0
185,186,3,6846.96,5954.18,2779.44,0.58203125,185,303,BLAa,BLA,6,left,0
186,187,3,6845.28,5952.74,2778.58,0.671875,186,303,BLAa,BLA,6,left,0
187,188,3,6845.0,5951.1,2778.08,0.4375,187,303,BLAa,BLA,6,left,0
188,189,3,6843.54,5949.44,2776.32,0.73046875,188,303,BLAa,BLA,6,left,0
189,190,3,6842.46,5948.18,2775.52,0.875,189,303,BLAa,BLA,6,left,0
190,191,3,6840.8,5946.38,2775.58,0.015625,190,303,BLAa,BLA,6,left,0
191,192,3,6839.6,5944.78,2773.9,1.2265625,191,303,BLAa,BLA,6,left,0
192,193,3,6837.78,5943.1,2772.92,0.7578125,192,303,BLAa,BLA,6,left,0
193,194,3,6834.76,5941.44,2770.68,0.41015625,193,303,BLAa,BLA,6,left,0
194,195,3,6832.74,5941.1,2769.38,0.84765625,194,303,BLAa,BLA,6,left,0
195,196,3,6830.64,5941.92,2769.1,0.0234375,195,303,BLAa,BLA,6,left,0
196,197,3,6827.62,5942.02,2768.88,26.54296875,196,303,BLAa,BLA,6,left,0
197,198,3,6824.82,5942.62,2768.44,0.37890625,197,303,BLAa,BLA,6,left,0
198,199,3,6822.8,5944.3,2768.1,0.17578125,198,303,BLAa,BLA,6,left,0
199,200,3,6820.86,5945.48,2768.14,0.3203125,199,303,BLAa,BLA,6,left,0
200,201,3,6818.16,5946.82,2767.98,0.4375,200,303,BLAa,BLA,6,left,0
201,202,3,6816.3,5947.6,2767.8,0.37890625,201,303,BLAa,BLA,6,left,0
202,203,3,6814.02,5949.3,2767.46,0.015625,202,303,BLAa,BLA,6,left,0
203,204,3,6811.26,5950.7,2767.16,0.7890625,203,303,BLAa,BLA,6,left,0
204,205,3,6809.16,5952.6,2766.8,0.41015625,204,303,BLAa,BLA,6,left,0
205,206,3,6808.06,5953.94,2766.54,0.4375,205,303,BLAa,BLA,6,left,0
206,207,3,6805.58,5954.26,2766.42,0.46484375,206,303,BLAa,BLA,6,left,0
207,208,3,6803.82,5954.42,2765.96,0.05078125,207,303,BLAa,BLA,6,left,0
208,209,3,6801.58,5955.16,2765.74,0.17578125,208,303,BLAa,BLA,6,left,0
209,210,3,6800.08,5957.22,2765.34,0.3515625,209,303,BLAa,BLA,6,left,0
210,211,3,6800.2,5958.6,2765.1,0.3515625,210,303,BLAa,BLA,6,left,0
211,212,3,6798.68,5959.46,2765.06,0.93359375,211,303,BLAa,BLA,6,left,0
212,213,3,6796.16,5960.54,2765.3,0.7890625,212,303,BLAa,BLA,6,left,0
213,214,3,6795.32,5963.1,2765.84,0.5234375,213,303,BLAa,BLA,6,left,0
214,215,3,6793.02,5964.5,2766.5,0.3515625,214,303,BLAa,BLA,6,left,0
215,216,3,6791.26,5965.76,2766.8,0.5234375,215,303,BLAa,BLA,6,left,0
216,217,3,6789.4,5967.5,2767.0,0.00390625,216,303,BLAa,BLA,6,left,0
217,218,3,6788.28,5969.34,2767.56,1.109375,217,303,BLAa,BLA,6,left,0
218,219,3,6786.6,5972.28,2768.38,0.7578125,218,303,BLAa,BLA,6,left,0
219,220,3,6784.94,5973.74,2769.32,0.49609375,219,303,BLAa,BLA,6,left,0
220,221,3,6783.78,5974.04,2770.78,0.3203125,220,303,BLAa,BLA,6,left,0
221,222,3,6781.98,5973.96,2771.58,0.61328125,221,303,BLAa,BLA,6,left,0
222,223,3,6780.22,5973.88,2772.66,0.58203125,222,303,BLAa,BLA,6,left,0
223,224,3,6778.2,5973.82,2773.14,0.29296875,223,303,BLAa,BLA,6,left,0
224,225,3,6776.1,5973.78,2774.9,0.00390625,224,303,BLAa,BLA,6,left,0
225,226,3,6773.86,5974.36,2776.24,0.3515625,225,303,BLAa,BLA,6,left,0
226,227,3,6772.1,5974.66,2777.42,0.5234375,226,303,BLAa,BLA,6,left,0
227,228,3,6770.26,5974.68,2778.1,0.17578125,227,303,BLAa,BLA,6,left,0
228,229,3,6767.56,5975.2,2778.2,14.49609375,228,303,BLAa,BLA,6,left,0
229,230,3,6765.86,5975.92,2778.28,0.203125,229,303,BLAa,BLA,6,left,0
230,231,3,6763.22,5976.82,2779.08,2.0703125,230,303,BLAa,BLA,6,left,0
231,232,3,6760.98,5978.0,2779.42,0.3203125,231,303,BLAa,BLA,6,left,0
232,233,3,6760.04,5978.86,2779.66,0.37890625,232,303,BLAa,BLA,6,left,0
233,234,3,6757.0,5979.04,2780.0,1.77734375,233,303,BLAa,BLA,6,left,0
234,235,3,6755.62,5980.04,2779.82,0.9921875,234,303,BLAa,BLA,6,left,0
235,236,3,6752.66,5981.32,2780.04,1.953125,235,303,BLAa,BLA,6,left,0
236,237,3,6750.48,5982.0,2780.66,0.3515625,236,303,BLAa,BLA,6,left,0
237,238,3,6747.5,5982.06,2781.52,1.13671875,237,303,BLAa,BLA,6,left,0
238,239,3,6744.98,5982.22,2781.64,1.16796875,238,303,BLAa,BLA,6,left,0
239,240,3,6743.3,5983.28,2781.64,0.4375,239,303,BLAa,BLA,6,left,0
240,241,3,6741.12,5984.14,2781.48,0.4375,240,303,BLAa,BLA,6,left,0
241,242,3,6738.96,5984.12,2781.44,0.4375,241,303,BLAa,BLA,6,left,0
242,243,3,6736.96,5985.64,2781.16,0.0078125,242,303,BLAa,BLA,6,left,0
243,244,3,6733.36,5985.98,2781.02,0.5234375,243,303,BLAa,BLA,6,left,0
244,245,3,6731.6,5987.4,2780.74,0.203125,244,303,BLAa,BLA,6,left,0
245,246,3,6729.26,5988.66,2780.48,0.41015625,245,303,BLAa,BLA,6,left,0
246,247,3,6726.5,5989.0,2780.38,0.46484375,246,303,BLAa,BLA,6,left,0
247,248,3,6721.26,5988.82,2780.3,0.00390625,247,303,BLAa,BLA,6,left,0
248,249,3,6717.9,5988.66,2780.24,6.41796875,248,303,BLAa,BLA,6,left,0
249,250,3,6714.88,5987.8,2780.06,2.1015625,249,303,BLAa,BLA,6,left,0
250,251,3,6713.76,5985.62,2780.02,0.671875,250,303,BLAa,BLA,6,left,0
251,252,3,6711.8,5984.8,2779.08,19.30859375,251,303,BLAa,BLA,6,left,0
252,253,3,6709.28,5984.32,2778.46,1.4296875,252,303,BLAa,BLA,6,left,0
253,254,3,6706.32,5984.06,2777.74,6.62109375,253,303,BLAa,BLA,6,left,0
254,255,3,6704.02,5983.96,2777.44,2.44921875,254,303,BLAa,BLA,6,left,0
255,256,3,6700.7,5983.78,2777.22,1.05078125,255,303,BLAa,BLA,6,left,0
256,257,3,6698.16,5983.64,2777.2,1.3984375,256,303,BLAa,BLA,6,left,0
257,258,3,6696.22,5983.5,2777.2,1.60546875,257,303,BLAa,BLA,6,left,0
258,259,3,6693.24,5986.14,2777.1,0.00390625,258,303,BLAa,BLA,6,left,0
259,260,3,6690.38,5987.16,2777.06,0.875,259,303,BLAa,BLA,6,left,0
260,261,3,6689.64,5987.78,2777.78,0.17578125,260,303,BLAa,BLA,6,left,0
261,262,3,6687.4,5988.1,2778.04,13.0078125,261,303,BLAa,BLA,6,left,0
262,263,3,6684.26,5988.08,2778.0,0.58203125,262,303,BLAa,BLA,6,left,0
263,264,3,6681.66,5988.84,2777.96,0.3203125,263,303,BLAa,BLA,6,left,0
264,265,3,6680.06,5989.36,2778.42,1.16796875,264,303,BLAa,BLA,6,left,0
265,266,3,6677.18,5989.26,2778.76,0.90234375,265,303,BLAa,BLA,6,left,0
266,267,3,6675.34,5989.4,2779.92,0.203125,266,303,BLAa,BLA,6,left,0
267,268,3,6848.14,5958.52,2782.44,0.015625,86,303,BLAa,BLA,7,left,0
268,269,3,6847.1,5961.1,2783.58,0.26171875,268,303,BLAa,BLA,7,left,0
269,270,3,6846.58,5962.54,2784.32,0.671875,269,303,BLAa,BLA,7,left,0
270,271,3,6843.08,5963.8,2784.1,0.0078125,270,303,BLAa,BLA,7,left,0
271,272,3,6840.86,5965.6,2784.46,0.84765625,271,303,BLAa,BLA,7,left,0
272,273,3,6840.16,5967.7,2784.66,1.25390625,272,303,BLAa,BLA,7,left,0
273,274,3,6837.88,5969.14,2784.96,0.58203125,273,303,BLAa,BLA,7,left,0
274,275,3,6835.04,5970.46,2784.94,0.4375,274,303,BLAa,BLA,7,left,0
275,276,3,6833.34,5970.98,2784.82,0.46484375,275,303,BLAa,BLA,7,left,0
276,277,3,6831.24,5971.04,2784.28,0.02734375,276,303,BLAa,BLA,7,left,0
277,278,3,6828.6,5971.12,2783.16,5.51171875,277,303,BLAa,BLA,7,left,0
278,279,3,6827.82,5971.26,2781.26,0.29296875,278,303,BLAa,BLA,7,left,0
279,280,3,6826.44,5971.62,2780.5,0.41015625,279,303,BLAa,BLA,7,left,0
280,281,3,6823.42,5971.88,2780.4,0.41015625,280,303,BLAa,BLA,7,left,0
281,282,3,6820.96,5971.88,2780.34,0.46484375,281,303,BLAa,BLA,7,left,0
282,283,3,6818.94,5971.88,2780.74,0.69921875,282,303,BLAa,BLA,7,left,0
283,284,3,6816.8,5971.94,2781.36,0.5546875,283,303,BLAa,BLA,7,left,0
284,285,3,6814.14,5972.38,2782.16,0.4375,284,303,BLAa,BLA,7,left,0
285,286,3,6811.98,5972.58,2782.66,0.37890625,285,303,BLAa,BLA,7,left,0
286,287,3,6810.12,5972.92,2782.62,0.5234375,286,303,BLAa,BLA,7,left,0
287,288,3,6807.08,5973.04,2782.88,0.01953125,287,303,BLAa,BLA,7,left,0
288,289,3,6805.1,5973.66,2783.36,0.69921875,288,303,BLAa,BLA,7,left,0
289,290,3,6802.34,5974.02,2783.88,0.73046875,289,303,BLAa,BLA,7,left,0
290,291,3,6799.36,5974.0,2784.28,0.203125,290,303,BLAa,BLA,7,left,0
291,292,3,6797.36,5973.96,2785.0,0.203125,291,303,BLAa,BLA,7,left,0
292,293,3,6793.68,5973.8,2785.94,14.4375,292,303,BLAa,BLA,7,left,0
293,294,3,6791.34,5973.08,2786.84,0.3515625,293,303,BLAa,BLA,7,left,0
294,295,3,6788.18,5972.42,2787.16,0.234375,294,303,BLAa,BLA,7,left,0
295,296,3,6786.76,5972.12,2787.18,0.29296875,295,303,BLAa,BLA,7,left,0
296,297,3,6783.14,5972.02,2786.96,0.01171875,296,303,BLAa,BLA,7,left,0
297,298,3,6780.68,5972.18,2786.6,0.26171875,297,303,BLAa,BLA,7,left,0
298,299,3,6777.82,5972.78,2786.42,0.37890625,298,303,BLAa,BLA,7,left,0
299,300,3,6774.1,5973.1,2786.28,1.05078125,299,303,BLAa,BLA,7,left,0
300,301,3,6771.7,5973.6,2786.14,1.33984375,300,303,BLAa,BLA,7,left,0
301,302,3,6770.46,5975.34,2785.82,17.91015625,301,303,BLAa,BLA,7,left,0
302,303,3,6770.24,5978.1,2785.34,6.125,302,303,BLAa,BLA,7,left,0
303,304,3,6769.4,5973.08,2786.18,10.91015625,303,303,BLAa,BLA,7,left,0
304,305,3,6767.2,5972.34,2786.26,25.2578125,304,303,BLAa,BLA,7,left,0
305,306,3,6764.58,5970.42,2786.54,0.9609375,305,303,BLAa,BLA,7,left,0
306,307,3,6763.4,5968.2,2786.88,0.671875,306,303,BLAa,BLA,7,left,0
307,308,3,6760.44,5967.32,2787.22,0.26171875,307,303,BLAa,BLA,7,left,0
308,309,3,6758.64,5966.88,2787.92,11.34765625,308,303,BLAa,BLA,7,left,0
309,310,3,6756.62,5965.58,2788.52,0.234375,309,303,BLAa,BLA,7,left,0
310,311,3,6754.14,5964.56,2788.66,0.234375,310,303,BLAa,BLA,7,left,0
311,312,3,6752.08,5961.74,2789.1,0.4375,311,303,BLAa,BLA,7,left,0
312,313,3,6750.52,5959.08,2789.52,0.46484375,312,303,BLAa,BLA,7,left,0
313,314,3,6747.64,5957.96,2789.58,2.2734375,313,303,BLAa,BLA,7,left,0
314,315,3,6745.62,5956.8,2789.34,0.17578125,314,303,BLAa,BLA,7,left,0
315,316,3,6744.4,5954.26,2789.2,0.58203125,315,303,BLAa,BLA,7,left,0
316,317,3,6741.66,5952.38,2789.12,0.234375,316,303,BLAa,BLA,7,left,0
317,318,3,6738.9,5949.32,2789.6,0.49609375,317,303,BLAa,BLA,7,left,0
318,319,3,6737.24,5946.52,2790.04,1.05078125,318,303,BLAa,BLA,7,left,0
319,320,3,6735.54,5945.02,2790.26,0.4375,319,303,BLAa,BLA,7,left,0
320,321,3,6733.06,5944.72,2790.26,1.05078125,320,303,BLAa,BLA,7,left,0
321,322,3,6731.02,5944.64,2790.24,1.05078125,321,303,BLAa,BLA,7,left,0
322,323,3,6727.22,5944.5,2790.18,0.02734375,322,303,BLAa,BLA,7,left,0
323,324,3,6724.54,5944.22,2790.16,0.4375,323,303,BLAa,BLA,7,left,0
324,325,3,6722.72,5943.8,2790.02,0.4375,324,303,BLAa,BLA,7,left,0
325,326,3,6719.62,5943.54,2789.36,0.3515625,325,303,BLAa,BLA,7,left,0
326,327,3,6717.22,5942.96,2788.76,0.41015625,326,303,BLAa,BLA,7,left,0
327,328,3,6713.34,5941.82,2788.34,0.203125,327,303,BLAa,BLA,7,left,0
328,329,3,6711.12,5941.08,2787.9,0.5546875,328,303,BLAa,BLA,7,left,0
329,330,3,6707.94,5939.34,2787.42,0.29296875,329,303,BLAa,BLA,7,left,0
330,331,3,6705.56,5937.98,2786.54,0.61328125,330,303,BLAa,BLA,7,left,0
331,332,3,6703.26,5937.02,2786.1,0.3203125,331,303,BLAa,BLA,7,left,0
332,333,3,6701.62,5933.78,2785.16,1.109375,332,303,BLAa,BLA,7,left,0
333,334,3,6699.34,5932.88,2784.96,0.875,333,303,BLAa,BLA,7,left,0
334,335,3,6695.98,5932.42,2784.98,23.7109375,334,303,BLAa,BLA,7,left,0
335,336,3,6692.72,5932.18,2784.96,12.7734375,335,303,BLAa,BLA,7,left,0
336,337,3,6690.62,5931.8,2784.98,22.515625,336,303,BLAa,BLA,7,left,0
337,338,3,6689.68,5929.06,2785.16,0.90234375,337,477,STR,STR,7,left,0
338,339,3,6689.28,5926.26,2784.8,0.69921875,338,303,BLAa,BLA,7,left,0
339,340,3,6687.74,5924.66,2784.34,17.91015625,339,303,BLAa,BLA,7,left,0
340,341,3,6685.34,5923.44,2784.16,0.58203125,340,303,BLAa,BLA,7,left,0
341,342,3,6680.56,5921.08,2784.42,1.13671875,341,303,BLAa,BLA,7,left,0
342,343,3,6678.86,5919.34,2784.68,1.13671875,342,303,BLAa,BLA,7,left,0
343,344,3,6676.36,5917.14,2785.02,0.7578125,343,477,STR,STR,7,left,0
344,345,3,6672.5,5915.44,2785.24,1.89453125,344,477,STR,STR,7,left,0
345,346,3,6671.46,5913.64,2785.52,1.3984375,345,477,STR,STR,7,left,0
346,347,3,6668.38,5913.22,2785.54,0.078125,346,477,STR,STR,7,left,0
347,348,3,6665.94,5912.16,2785.78,0.9609375,347,477,STR,STR,7,left,0
348,349,3,6665.82,5911.34,2786.86,0.5234375,348,477,STR,STR,7,left,0
349,350,3,6663.92,5911.04,2788.0,43.546875,349,477,STR,STR,7,left,0
350,351,3,6660.88,5910.46,2788.3,39.140625,350,477,STR,STR,7,left,0
351,352,3,6658.72,5909.98,2788.9,35.9609375,351,477,STR,STR,7,left,0
352,353,3,6655.5,5909.66,2789.02,45.91015625,352,477,STR,STR,7,left,0
353,354,3,6653.68,5909.5,2789.64,42.05859375,353,559,CEAm,CEA,7,left,0
354,355,3,6653.58,5908.84,2790.64,0.90234375,354,559,CEAm,CEA,7,left,0
355,356,3,6653.1,5905.7,2791.42,1.1953125,355,559,CEAm,CEA,7,left,0
356,357,3,6652.08,5904.12,2791.66,0.84765625,356,544,CEAc,CEA,7,left,0
357,358,3,6650.36,5900.12,2792.62,27.796875,357,544,CEAc,CEA,7,left,0
358,359,3,6648.74,5897.54,2793.54,0.875,358,544,CEAc,CEA,7,left,0
359,360,3,6647.6,5893.28,2794.32,0.69921875,359,544,CEAc,CEA,7,left,0
360,361,3,6647.4,5891.58,2794.6,0.84765625,360,544,CEAc,CEA,7,left,0
361,362,3,6644.76,5890.84,2794.92,0.046875,361,544,CEAc,CEA,7,left,0
362,363,3,6640.84,5890.04,2795.18,29.4296875,362,544,CEAc,CEA,7,left,0
