,251034_003_Vglut1
10.0,6
20.0,6
30.0,7
40.0,13
50.0,17
60.0,26
70.0,27
80.0,28
90.0,30
100.0,31
110.0,30
120.0,28
130.0,27
140.0,31
150.0,24
160.0,23
170.0,21
180.0,21
190.0,18
200.0,15
210.0,15
220.0,12
230.0,8
240.0,8
250.0,6
260.0,6
270.0,8
280.0,8
290.0,8
300.0,7
310.0,5
320.0,4
330.0,4
340.0,4
350.0,5
360.0,3
370.0,3
380.0,1
390.0,1
400.0,1
410.0,2
420.0,2
430.0,2
440.0,2
450.0,2
460.0,2
470.0,2
480.0,2
