,221058_038_Sst
10.0,6
20.0,12
30.0,16
40.0,17
50.0,19
60.0,18
70.0,15
80.0,15
90.0,13
100.0,14
110.0,13
120.0,9
130.0,6
140.0,3
150.0,3
160.0,1
