,252459_074_Sst
10.0,6
20.0,7
30.0,12
40.0,14
50.0,15
60.0,15
70.0,15
80.0,15
90.0,14
100.0,14
110.0,13
120.0,13
130.0,11
140.0,11
150.0,7
160.0,7
170.0,7
180.0,7
190.0,8
200.0,8
210.0,7
220.0,7
230.0,7
240.0,6
250.0,6
260.0,3
270.0,2
280.0,2
290.0,2
300.0,2
310.0,2
