,221058_107_Sst
10.0,3
20.0,4
30.0,8
40.0,8
50.0,9
60.0,10
70.0,12
80.0,14
90.0,14
100.0,14
110.0,15
120.0,15
130.0,15
140.0,15
150.0,15
160.0,15
170.0,15
180.0,15
190.0,12
200.0,10
210.0,10
220.0,10
230.0,9
240.0,8
250.0,7
260.0,8
270.0,9
280.0,8
290.0,7
300.0,8
310.0,8
320.0,10
330.0,8
340.0,9
350.0,3
360.0,3
