,221297_037_Sst
10.0,5
20.0,9
30.0,12
40.0,16
50.0,18
60.0,21
70.0,18
80.0,17
90.0,15
100.0,14
110.0,14
120.0,11
130.0,11
140.0,9
150.0,7
160.0,5
170.0,5
180.0,5
190.0,3
200.0,2
210.0,1
220.0,1
230.0,1
240.0,1
250.0,1
