,252460_132_Sst
10.0,7
20.0,6
30.0,6
40.0,6
50.0,6
60.0,7
70.0,8
80.0,9
90.0,12
100.0,9
110.0,7
120.0,7
130.0,7
140.0,6
150.0,6
160.0,6
170.0,7
180.0,7
190.0,9
200.0,7
210.0,6
220.0,6
230.0,6
240.0,5
250.0,5
260.0,7
270.0,3
280.0,3
290.0,3
300.0,2
310.0,2
320.0,2
330.0,1
340.0,1
350.0,1
360.0,1
370.0,1
380.0,1
390.0,1
400.0,1
410.0,1
420.0,1
430.0,1
440.0,1
450.0,1
460.0,1
470.0,1
480.0,1
490.0,1
500.0,1
510.0,1
520.0,1
530.0,1
540.0,1
550.0,1
560.0,1
