,251039_031_Vglut1
10.0,5
20.0,5
30.0,9
40.0,15
50.0,20
60.0,23
70.0,28
80.0,26
90.0,26
100.0,29
110.0,27
120.0,21
130.0,21
140.0,13
150.0,13
160.0,11
170.0,11
180.0,15
190.0,12
200.0,10
210.0,11
220.0,11
230.0,6
240.0,6
250.0,5
260.0,6
270.0,6
280.0,7
290.0,6
300.0,6
310.0,6
320.0,7
330.0,7
340.0,8
350.0,8
360.0,8
370.0,9
380.0,7
390.0,8
400.0,8
410.0,7
420.0,7
430.0,10
440.0,10
450.0,10
460.0,10
470.0,8
480.0,6
490.0,6
500.0,4
510.0,4
520.0,4
530.0,3
540.0,3
550.0,2
560.0,2
