,230058_074_Sst
10.0,6
20.0,7
30.0,12
40.0,19
50.0,23
60.0,21
70.0,20
80.0,19
90.0,17
100.0,17
110.0,16
120.0,13
130.0,12
140.0,11
150.0,7
160.0,7
170.0,7
180.0,7
190.0,7
200.0,7
210.0,6
220.0,5
230.0,4
240.0,3
250.0,1
260.0,1
270.0,1
280.0,1
290.0,1
300.0,1
