,251039_020_Vglut1
10.0,8
20.0,10
30.0,15
40.0,19
50.0,24
60.0,31
70.0,32
80.0,34
90.0,35
100.0,38
110.0,38
120.0,36
130.0,38
140.0,39
150.0,35
160.0,35
170.0,26
180.0,22
190.0,19
200.0,19
210.0,21
220.0,22
230.0,24
240.0,20
250.0,18
260.0,14
270.0,12
280.0,10
290.0,8
300.0,6
310.0,6
320.0,6
330.0,6
340.0,5
350.0,5
360.0,5
