,221058_088_Sst
10.0,2
20.0,4
30.0,5
40.0,5
50.0,7
60.0,7
70.0,8
80.0,9
90.0,9
100.0,10
110.0,10
120.0,14
130.0,9
140.0,9
150.0,8
160.0,8
170.0,8
180.0,8
190.0,8
200.0,9
210.0,8
220.0,8
230.0,8
240.0,9
250.0,6
260.0,6
270.0,5
280.0,3
290.0,3
300.0,5
310.0,4
320.0,4
330.0,4
340.0,3
350.0,3
