,242655_057_Sst
10.0,5
20.0,5
30.0,5
40.0,6
50.0,7
60.0,7
70.0,9
80.0,9
90.0,9
100.0,11
110.0,9
120.0,9
130.0,9
140.0,11
150.0,10
160.0,11
170.0,10
180.0,11
190.0,11
200.0,12
210.0,21
220.0,15
230.0,16
240.0,19
250.0,18
260.0,16
270.0,19
280.0,24
290.0,26
300.0,23
310.0,32
320.0,23
330.0,28
340.0,26
350.0,27
360.0,37
370.0,25
380.0,23
390.0,23
400.0,29
410.0,24
420.0,26
430.0,24
440.0,23
450.0,22
460.0,21
470.0,20
480.0,23
490.0,22
500.0,25
510.0,22
520.0,21
530.0,17
540.0,16
550.0,15
560.0,15
570.0,14
580.0,17
590.0,13
600.0,16
610.0,11
620.0,8
630.0,7
640.0,7
650.0,7
660.0,6
670.0,8
680.0,7
690.0,4
700.0,4
710.0,3
720.0,4
730.0,5
740.0,6
750.0,3
760.0,6
770.0,3
780.0,5
790.0,6
800.0,10
810.0,10
820.0,4
830.0,3
840.0,2
850.0,1
860.0,1
870.0,1
880.0,1
890.0,1
900.0,1
910.0,1
920.0,1
930.0,2
940.0,1
950.0,1
960.0,1
970.0,1
980.0,1
990.0,1
1000.0,1
