,251039_033_Vglut1
10.0,7
20.0,9
30.0,18
40.0,18
50.0,18
60.0,21
70.0,17
80.0,16
90.0,16
100.0,18
110.0,21
120.0,21
130.0,18
140.0,15
150.0,16
160.0,17
170.0,15
180.0,11
190.0,11
200.0,11
210.0,12
220.0,14
230.0,14
240.0,13
250.0,11
260.0,10
270.0,10
280.0,10
290.0,8
300.0,8
310.0,8
320.0,7
330.0,6
340.0,6
350.0,6
360.0,6
370.0,6
380.0,6
390.0,6
400.0,6
410.0,5
420.0,5
430.0,5
440.0,5
450.0,5
460.0,4
470.0,4
480.0,3
490.0,3
500.0,2
510.0,2
520.0,1
