,234172_017_Crh
10.0,4
20.0,8
30.0,11
40.0,12
50.0,16
60.0,17
70.0,18
80.0,17
90.0,14
100.0,14
110.0,11
120.0,10
130.0,7
140.0,5
150.0,3
160.0,3
170.0,3
180.0,2
190.0,1
200.0,1
210.0,1
220.0,1
230.0,1
240.0,1
