,251039_022_Vglut1
10.0,8
20.0,9
30.0,12
40.0,19
50.0,26
60.0,37
70.0,38
80.0,42
90.0,45
100.0,45
110.0,49
120.0,41
130.0,35
140.0,31
150.0,27
160.0,22
170.0,19
180.0,18
190.0,15
200.0,13
210.0,12
220.0,11
230.0,10
240.0,7
250.0,9
260.0,14
270.0,9
280.0,9
290.0,9
300.0,10
310.0,11
320.0,11
330.0,11
340.0,11
350.0,10
360.0,8
370.0,7
380.0,6
390.0,5
400.0,4
410.0,4
420.0,4
430.0,4
440.0,5
450.0,4
460.0,5
470.0,5
480.0,6
490.0,5
500.0,5
510.0,5
520.0,3
530.0,3
540.0,1
