,221058_113_Sst
10.0,7
20.0,3
30.0,3
40.0,6
50.0,7
60.0,8
70.0,10
80.0,15
90.0,17
100.0,19
110.0,22
120.0,20
130.0,23
140.0,25
150.0,22
160.0,19
170.0,21
180.0,19
190.0,20
200.0,17
210.0,18
220.0,15
230.0,19
240.0,11
250.0,12
260.0,10
270.0,7
280.0,6
290.0,7
300.0,4
310.0,5
320.0,4
330.0,4
340.0,9
350.0,5
360.0,5
370.0,3
380.0,3
390.0,3
400.0,2
410.0,2
420.0,2
430.0,2
440.0,1
450.0,1
460.0,1
470.0,1
480.0,1
490.0,1
500.0,2
510.0,1
