,251039_029_Vglut1
10.0,12
20.0,13
30.0,19
40.0,28
50.0,33
60.0,35
70.0,35
80.0,34
90.0,32
100.0,35
110.0,39
120.0,32
130.0,31
140.0,28
150.0,27
160.0,25
170.0,23
180.0,22
190.0,16
200.0,13
210.0,13
220.0,13
230.0,13
240.0,13
250.0,12
260.0,11
270.0,10
280.0,10
290.0,10
300.0,9
310.0,10
320.0,7
330.0,7
340.0,6
350.0,5
360.0,7
370.0,7
380.0,9
390.0,5
400.0,4
410.0,4
420.0,3
