,234172_016_Crh
10.0,3
20.0,4
30.0,9
40.0,13
50.0,16
60.0,22
70.0,14
80.0,11
90.0,12
100.0,12
110.0,12
120.0,11
130.0,12
140.0,11
150.0,10
160.0,9
170.0,8
180.0,6
190.0,4
200.0,3
210.0,2
220.0,1
230.0,1
240.0,1
250.0,1
