,251034_010_Vglut1
10.0,9
20.0,9
30.0,15
40.0,19
50.0,26
60.0,31
70.0,29
80.0,29
90.0,32
100.0,30
110.0,31
120.0,26
130.0,23
140.0,22
150.0,20
160.0,18
170.0,18
180.0,17
190.0,16
200.0,11
210.0,10
220.0,11
230.0,10
240.0,7
250.0,9
260.0,6
270.0,7
280.0,4
290.0,3
300.0,3
