,251039_021_Vglut1
10.0,11
20.0,11
30.0,16
40.0,23
50.0,26
60.0,27
70.0,30
80.0,32
90.0,33
100.0,33
110.0,34
120.0,36
130.0,38
140.0,36
150.0,33
160.0,32
170.0,29
180.0,30
190.0,29
200.0,27
210.0,24
220.0,21
230.0,16
240.0,14
250.0,13
260.0,11
270.0,9
280.0,7
290.0,6
300.0,6
310.0,5
320.0,4
330.0,3
340.0,3
350.0,3
360.0,1
370.0,1
380.0,1
390.0,1
400.0,1
410.0,1
