,230058_076_Sst
10.0,7
20.0,8
30.0,10
40.0,12
50.0,14
60.0,15
70.0,15
80.0,15
90.0,16
100.0,11
110.0,10
120.0,8
130.0,9
140.0,7
150.0,4
160.0,3
170.0,3
180.0,2
190.0,1
200.0,1
210.0,1
220.0,1
