,251034_004_Vglut1
10.0,9
20.0,12
30.0,17
40.0,26
50.0,30
60.0,32
70.0,37
80.0,34
90.0,35
100.0,36
110.0,37
120.0,37
130.0,37
140.0,37
150.0,29
160.0,25
170.0,23
180.0,13
190.0,12
200.0,11
210.0,9
220.0,6
230.0,4
240.0,1
250.0,1
260.0,1
270.0,1
280.0,1
290.0,1
