,221058_040_Sst
10.0,6
20.0,5
30.0,6
40.0,6
50.0,8
60.0,9
70.0,10
80.0,10
90.0,11
100.0,12
110.0,12
120.0,11
130.0,10
140.0,12
150.0,9
160.0,9
170.0,10
180.0,10
190.0,9
200.0,7
210.0,7
220.0,7
230.0,9
240.0,7
250.0,6
260.0,6
270.0,9
280.0,6
290.0,6
300.0,5
310.0,5
320.0,4
330.0,3
340.0,3
350.0,3
360.0,2
370.0,2
380.0,2
390.0,3
400.0,5
410.0,3
420.0,1
430.0,1
440.0,1
450.0,1
460.0,1
470.0,1
480.0,1
490.0,1
500.0,1
510.0,1
520.0,1
530.0,1
540.0,1
550.0,1
560.0,1
570.0,1
580.0,1
590.0,1
600.0,1
610.0,1
