,221297_038_Sst
10.0,2
20.0,9
30.0,16
40.0,18
50.0,19
60.0,21
70.0,22
80.0,21
90.0,18
100.0,16
110.0,13
120.0,13
130.0,9
140.0,9
150.0,4
160.0,3
170.0,2
180.0,1
