,234172_122_Crh
10.0,4
20.0,7
30.0,14
40.0,15
50.0,15
60.0,18
70.0,21
80.0,19
90.0,16
100.0,12
110.0,9
120.0,6
130.0,3
140.0,3
150.0,2
160.0,2
170.0,1
180.0,1
190.0,1
200.0,1
210.0,1
220.0,1
