,230058_073_Sst
10.0,6
20.0,7
30.0,11
40.0,14
50.0,17
60.0,17
70.0,19
80.0,18
90.0,15
100.0,14
110.0,15
120.0,10
130.0,7
140.0,7
150.0,7
160.0,7
170.0,6
180.0,6
190.0,6
200.0,4
210.0,3
