,221297_036_Sst
10.0,7
20.0,8
30.0,14
40.0,15
50.0,16
60.0,17
70.0,18
80.0,17
90.0,18
100.0,17
110.0,17
120.0,17
130.0,16
140.0,16
150.0,15
160.0,11
170.0,8
180.0,6
190.0,4
200.0,2
210.0,2
220.0,1
230.0,1
240.0,1
250.0,1
260.0,1
270.0,1
280.0,1
